"genotype"	"cell.width"	"cell.height"	"treatment"
"control"	60.8423346210271	42.97256184211	"A"
"control"	38.8870792876929	49.0159719283693	"B"
"XA53"	100.054681785218	77.834621584136	"A"
"XA53"	64.069263908267	58.1516114102676	"B"
"XA53"	62.1931934406981	15.0551979237236	"A"
"XA53"	29.8298209828325	71.1883535562083	"A"
"XA53"	45.9583228552714	18.1561929906718	"A"
"XA53"	89.9789202742279	24.8159594841301	"A"
"control"	48.8064973450266	53.0024680772796	"B"
"XA53"	81.0909513814375	80.9032289031893	"A"
"XA53"	68.1397105151787	4.80746593074873	"A"
"XA53"	13.1111109749414	97.1910506643355	"A"
"control"	48.0072640354745	28.9429771259427	"B"
"XA53"	76.1208134738728	68.0672426583245	"B"
"XA53"	69.9106538268738	26.9545313988812	"B"
"XA53"	100.11613174919	23.9508476404473	"B"
"XA53"	91.0256921136752	51.8108594206162	"B"
"XA53"	19.8306614186615	16.09708593674	"B"
"control"	34.1867164047435	60.9004164450802	"A"
"XA53"	99.0162270004861	93.8146399545483	"B"
"XA53"	23.0901090033352	27.9007950223982	"B"
"XA53"	95.0122608437203	4.14845768325031	"B"
"XA53"	24.9476943895221	17.9418093740009	"A"
"XA53"	60.830486355722	17.1425372006372	"A"
"XA53"	47.0005560147576	38.8421905668452	"A"
"XA53"	2.89142377143726	53.9382806912065	"B"
"XA53"	29.1718653808348	37.0715282966383	"B"
"XA53"	38.8658329507336	15.8666155358776	"B"
"XA53"	92.9221994320862	84.1722653913312	"A"
"XA53"	72.8342328341678	90.0424170341343	"B"
"XA53"	40.1455876342021	11.933818573691	"A"
"XA53"	50.8488024670631	82.8224966026843	"B"
"XA53"	32.1246913433075	97.0929963234812	"A"
"XA53"	4.10986670143902	73.1531748311594	"A"
"XA53"	45.8250311731361	28.8671356973238	"A"
"XA53"	32.1145695479587	28.1516687541269	"B"
"XA53"	83.0182144227438	66.8905755153857	"A"
"XA53"	42.9255874890834	3.00891705714166	"A"
"XA53"	55.1845584100112	89.9382413503714	"A"
"XA53"	78.0673405680805	78.8091149669141	"A"
"XA53"	59.8514404738322	26.1448008270934	"A"
"XA53"	91.0222716732882	77.0067469929345	"A"
"XA53"	75.1402459422126	57.0096254645847	"A"
"XA53"	87.1962677851319	44.8915362194181	"B"
"XA53"	72.8835286651738	16.1070276214741	"B"
"XA53"	23.0491578787565	57.1316529406235	"B"
"XA53"	34.0980940482579	54.1201430249959	"A"
"XA53"	83.8224358424544	16.944882103242	"A"
"XA53"	19.836431921646	81.9553945937194	"B"
"XA53"	43.0054809839465	33.8966265257448	"A"
"XA53"	8.94179023737088	24.8455225582235	"B"
"control"	44.0766779571772	46.192996400129	"A"
"control"	22.9717932895757	52.0299753061496	"A"
"XA53"	89.938359902706	92.8878844087012	"B"
"XA53"	94.0035930914804	59.0425408512354	"B"
"XA53"	8.91097670104355	36.8625267270952	"B"
"XA53"	71.960749069415	26.1296575928107	"B"
"XA53"	36.8050894412212	26.8781192529947	"B"
"XA53"	82.1171948472038	82.1402751471847	"B"
"control"	64.9403456885368	65.9029997341335	"A"
"control"	49.0723737061955	61.1628675651737	"B"
"XA53"	85.9336587687954	67.8387663099915	"A"
"XA53"	23.0501554934308	20.9862235783599	"A"
"XA53"	98.126856923569	91.8887697088532	"B"
"XA53"	51.8428976161405	15.9632461463101	"B"
"XA53"	89.0092126975767	79.1618619900197	"A"
"XA53"	1.12963083116338	69.0171573435888	"B"
"XA53"	90.0318822639994	94.9921426713467	"B"
"XA53"	23.8792346067727	93.181677611731	"A"
"XA53"	2.04411865742877	19.9705822089687	"B"
"control"	26.8257989875972	56.8849703084677	"A"
"XA53"	37.118962967582	7.12518168529496	"A"
"XA53"	81.8210382531397	93.8129646938294	"B"
"control"	35.9405889326707	38.1196581967175	"A"
"XA53"	91.8887009273283	89.1847424679436	"B"
"XA53"	47.040589190647	3.99468981763348	"B"
"control"	34.0641936819069	47.1322777519003	"A"
"XA53"	72.934050321579	66.8903540721163	"A"
"XA53"	2.0608098664321	43.1710959030315	"B"
"XA53"	21.1837114612572	5.06396685326472	"A"
"XA53"	45.9398990807124	91.1138485144824	"A"
"XA53"	82.1085689850152	61.1105032258667	"A"
"control"	72.9017124497332	41.8437783164904	"B"
"XA53"	21.0721403588541	17.1971203246154	"B"
"XA53"	3.15160205997527	8.95690416311845	"A"
"control"	70.817296848353	60.0364081231877	"B"
"XA53"	20.8512953567319	56.9154866357334	"B"
"control"	32.039434539061	39.9650985530578	"A"
"XA53"	80.1016521562822	56.0556688950397	"A"
"control"	71.1789575427771	70.9535473900847	"A"
"XA53"	15.8266483396292	40.1477064952254	"A"
"XA53"	86.1351949566975	70.0881488651037	"B"
"XA53"	68.9880909045227	93.1843855612911	"B"
"XA53"	73.9709213701077	18.875569508411	"A"
"XA53"	23.8124561022036	79.9215673567727	"A"
"XA53"	46.1582156481221	18.8764852021821	"B"
"control"	43.0631933639757	69.0889008360915	"A"
"XA53"	21.8357970038429	80.1590496217832	"B"
"XA53"	85.8747660011984	96.8384023231454	"B"
"control"	39.0759959084913	33.9530509053729	"A"
"XA53"	52.8141203565523	95.0395570083521	"B"
"XA53"	64.1681786104105	16.8662834359333	"B"
"XA53"	44.187521089986	33.0615537705831	"A"
"XA53"	55.1177738067694	39.0542847562581	"B"
"XA53"	21.0268916863017	59.8295506821014	"A"
"control"	57.0805126301944	60.9967908103019	"B"
"XA53"	23.0953106788918	20.1496884902939	"B"
"XA53"	67.0958518067375	34.1485599946231	"A"
"control"	49.8787265824154	32.9875824008137	"B"
"XA53"	23.8169675926678	66.0831162824295	"A"
"XA53"	59.0527823838405	79.1241194388829	"A"
"XA53"	21.9083275379613	17.1820324356668	"A"
"control"	70.9820359621197	67.8277364885435	"B"
"XA53"	59.9939794472419	84.004526618775	"B"
"XA53"	43.0482462088577	5.88020184691995	"B"
"XA53"	87.8149959373288	53.8083644679748	"B"
"XA53"	36.8725939048454	20.9614630470984	"A"
"XA53"	83.8302614537068	12.0050619661808	"B"
"XA53"	85.9450885280967	42.1930021286942	"A"
"XA53"	6.16294182986021	46.9237601577304	"A"
"control"	34.1867164047435	NA	"A"
"XA53"	23.1571827474982	2.0684767560102	"A"
"XA53"	30.9049716543406	21.1756860243157	"B"
"XA53"	18.1230080175214	95.8718519378453	"B"
"XA53"	2.83724971953779	57.9555113389157	"A"
"XA53"	21.8517142553814	75.0044152298011	"A"
"XA53"	66.04992711097	13.8609528408386	"B"
"control"	35.8983166771941	62.0139305753633	"B"
"XA53"	36.8435786535963	54.8625787843019	"B"
"XA53"	97.826732281968	63.9045841556042	"A"
"XA53"	96.0595531050116	55.8551770706661	"B"
"XA53"	36.8717492870055	14.8707337195054	"B"
"XA53"	34.9874400025234	29.1207121451385	"B"
"XA53"	80.10857663434	73.8054027803242	"B"
"XA53"	22.8031857218593	57.8539667173289	"B"
"control"	63.9231061756611	34.8663356827572	"A"
"control"	40.1775151118636	66.9738575996831	"B"
"XA53"	78.9251387351192	65.1373010125011	"B"
"XA53"	27.196077513881	7.08272659257054	"B"
"XA53"	18.8037744630128	33.055337622948	"B"
"XA53"	77.9325969040394	NA	"A"
"control"	64.052187230438	43.8080060591921	"A"
"XA53"	79.984740800038	69.9415007657371	"A"
"XA53"	47.8347471268848	75.0114208561368	"B"
"XA53"	75.1446968415752	35.9394875727594	"A"
"XA53"	27.1628132328391	15.9071856095456	"A"
"control"	62.9323384298012	38.857932118047	"A"
"XA53"	47.9374841527082	76.9684414300136	"B"
"XA53"	86.0372651608661	81.0001048512757	"A"
"XA53"	7.87298590885475	87.0897441170178	"A"
"XA53"	82.1016284978017	16.0605564563535	"B"
"XA53"	1.11364312637597	41.0592094133608	"B"
"XA53"	10.93180897329	99.801180498302	"B"
"XA53"	76.9005309501663	23.0908742512576	"B"
"control"	49.0723737061955	NA	"B"
"XA53"	98.1345704707317	99.0613638983108	"A"
"control"	47.0306114548817	32.8568705691956	"A"
"XA53"	92.9412021514028	20.1675402561203	"B"
"XA53"	92.0264536391944	56.0646027731709	"B"
"XA53"	62.1037454940379	23.9179846269079	"A"
"XA53"	78.126871414762	NA	"A"
"XA53"	13.1556310345419	61.0658974858932	"B"
"control"	55.0024031247012	NA	"A"
"XA53"	85.9191444745287	64.9446025833488	"B"
"XA53"	99.8963754196651	90.8364778191783	"A"
"XA53"	86.9256000284106	43.1725145332515	"B"
"XA53"	10.1703348696232	62.1762663000263	"A"
"control"	33.1098034342751	68.8914114803076	"A"
"XA53"	56.8519284815527	7.96119000259787	"A"
"XA53"	61.8210358942859	5.82762503968552	"B"
"XA53"	76.1119399214163	96.0809187314473	"A"
"XA53"	73.0172271307558	32.163787511643	"A"
"XA53"	37.9014214822091	8.88678372204304	"A"
"XA53"	38.0528599176556	97.9600336312316	"A"
"XA53"	52.0092527718283	5.81028149360791	"A"
"control"	41.1281818456016	54.8834785686806	"A"
"XA53"	89.152366780024	41.0930793552659	"B"
"XA53"	89.9972008849494	96.0773075903766	"B"
"XA53"	75.8988391227089	57.9830709338188	"B"
"XA53"	24.1835269733332	67.1178214852698	"B"
"XA53"	72.1257275913842	30.1430679854937	"A"
"XA53"	81.8933376556262	58.9989156135358	"A"
"XA53"	31.1028562364168	4.13536308854818	"B"
"control"	52.8764689893462	33.1070427062921	"A"
"XA53"	32.1212421630509	69.0187437092885	"B"
"XA53"	31.0208751893602	35.9600711103529	"A"
"XA53"	25.0339508010074	20.9540427262895	"B"
"XA53"	50.0512046811171	8.99466708200052	"B"
"control"	48.181933460664	57.8710316072218	"B"
"XA53"	1.08906791470945	8.18588645095006	"B"
"XA53"	27.017362198513	NA	"B"
"XA53"	1.9296809063293	29.1189854124561	"B"
"XA53"	97.1534276776947	77.8913031009026	"B"
"control"	43.1637308301404	25.8599123284221	"A"
"XA53"	76.0840977044776	68.8130379095674	"A"
"XA53"	41.9927733539604	84.9119249318726	"B"
"XA53"	3.02824762631208	16.1122410701588	"B"
"XA53"	78.9270909450948	95.9384026172571	"A"
"XA53"	1.05409192405641	55.8852720210329	"B"
"XA53"	1.02355867661536	9.81853241799399	"A"
"control"	54.9786771157756	51.9687186049297	"A"
"XA53"	93.108279008884	78.0975163343362	"A"
"XA53"	80.9103408829309	16.0872112572193	"B"
"XA53"	25.995903230831	3.08130252668634	"A"
"XA53"	7.97151657547802	76.8350774547085	"A"
"control"	63.8533559204079	73.8218214415945	"A"
"XA53"	86.1355690236203	8.82529666675255	"B"
"XA53"	85.0224612543359	20.1376826586202	"A"
"XA53"	9.87789054671302	33.1978947616182	"B"
"XA53"	87.1301795736887	27.0853565198369	"B"
"XA53"	90.1650592889637	36.8103757285513	"B"
"XA53"	0.897805155999958	48.0788839112967	"A"
"XA53"	52.0104479364119	96.0402102282271	"B"
"XA53"	85.0143691840582	46.9875790648162	"A"
"XA53"	41.1700121716596	34.8041976305656	"B"
"XA53"	53.1586576056667	17.1370410393924	"B"
"XA53"	63.9164254315197	98.8591861234978	"A"
"XA53"	97.8743268928491	24.8599095117301	"B"
"XA53"	93.8741559186019	75.1506746308878	"B"
"XA53"	68.9997795063071	95.0330910239369	"B"
"XA53"	70.1379400153644	32.8815918023698	"A"
"XA53"	66.1415971248411	3.9388668497093	"B"
"XA53"	19.107082024496	78.8255745173432	"A"
"XA53"	7.07525299489498	8.08956344975159	"B"
"XA53"	37.1067086969502	89.8446446246467	"A"
"XA53"	53.8034702253528	4.13175234925002	"B"
"control"	48.1864317920059	47.1097595654428	"A"
"XA53"	56.9993162482046	37.9104252808727	"B"
"control"	29.1323436480947	71.8783798874356	"B"
"XA53"	16.9730840745382	54.9451940919273	"B"
"XA53"	68.8725785974413	19.8138925009407	"A"
"XA53"	98.836874718219	33.0364710045978	"A"
"XA53"	8.01738889301196	56.8966043547727	"B"
"XA53"	77.190562846791	20.0092076358385	"B"
"XA53"	90.9433041720651	79.0819141049869	"B"
"control"	42.1727959810756	31.9679192239419	"B"
"XA53"	69.9261670115404	71.1835226760246	"A"
"XA53"	33.1111960358918	89.0634972902015	"A"
"XA53"	89.9985204987228	56.0362003992312	"A"
"XA53"	7.97540882509202	38.1359727676958	"B"
"XA53"	44.9882072974928	86.0451376258396	"A"
"XA53"	26.9401310463436	13.0608981232159	"A"
"XA53"	34.1121928297915	21.9260298695415	"B"
"XA53"	23.9738310049288	82.8120396353304	"A"
"control"	48.0011538836174	72.1379487867467	"B"
"XA53"	74.0962759008631	38.8038772966713	"B"
"XA53"	83.9226319346577	96.959896680899	"A"
"XA53"	37.8082926257513	59.1060761199333	"A"
"XA53"	26.1592695490457	18.0071968690492	"A"
"XA53"	9.82555548427626	71.1870211484842	"A"
"XA53"	9.16484172660858	9.82497380627319	"B"
"XA53"	13.9080860640854	52.9811674148776	"A"
"XA53"	71.8696216396987	35.8549302663654	"B"
"XA53"	36.1470890279859	3.85329243149608	"A"
"XA53"	24.9039892054163	29.0691801842302	"B"
"control"	50.0866158303805	NA	"A"
"XA53"	53.922193317581	95.8877388700843	"B"
"XA53"	80.8683520110324	19.9964165900834	"A"
"XA53"	61.8357809062116	81.8653460667469	"A"
"control"	28.8758198893629	75.0733334889635	"A"
"XA53"	73.9970227479935	31.9745362558402	"B"
"control"	61.1808330247179	28.070360454265	"B"
"XA53"	66.1544488924555	91.0741506990045	"B"
"control"	69.9567517625168	44.0978017459624	"B"
"XA53"	28.036231152527	13.0492713980377	"B"
"XA53"	24.1438694313169	97.1530634976923	"A"
"XA53"	52.1747968755662	89.036745293159	"A"
"XA53"	23.8581110426225	13.14532603845	"A"
"XA53"	10.8545171462931	59.9525209160522	"B"
"XA53"	49.0296289896593	42.8030372322537	"A"
"XA53"	33.0789388777688	80.1751793561503	"A"
"control"	27.1250270347111	46.0967668056488	"B"
"control"	52.839109502174	47.0337244204245	"A"
"XA53"	50.0331938437186	NA	"B"
"XA53"	68.1979429111816	3.88928850302473	"B"
"XA53"	39.8492619479075	8.93578595453873	"B"
"XA53"	93.0427820525132	32.83555098949	"A"
"XA53"	37.0706889891066	10.1705160049722	"B"
"XA53"	75.8901255785488	32.1126393229701	"A"
"XA53"	52.0205943614244	100.049957897421	"A"
"XA53"	10.8338243762963	84.8536268973723	"B"
"XA53"	57.9415669458918	8.90869029453024	"A"
"XA53"	52.0582352796569	43.0416135014035	"A"
"XA53"	49.1067797489464	73.8053671085276	"A"
"control"	57.8186508401297	44.108816800639	"A"
"control"	69.021659630537	57.897802459076	"B"
"XA53"	45.0280522812158	84.1632983524352	"B"
"XA53"	69.0000429351814	NA	"B"
"XA53"	74.1566249498166	37.1265972690657	"B"
"XA53"	14.8249520067126	60.9227227953263	"A"
"XA53"	25.995903230831	NA	"A"
"XA53"	64.8745339522138	24.8962499917485	"B"
"XA53"	6.09723009383306	41.9045050244778	"A"
"XA53"	36.1964599168859	23.8327837362885	"A"
"XA53"	88.915520835761	5.98319060159847	"B"
"XA53"	85.0485288905911	63.0754777004011	"A"
"XA53"	45.0957706487738	22.0318334521726	"A"
"XA53"	14.1311003352515	2.84897419242188	"B"
"XA53"	98.903525773529	11.1214949578047	"A"
"control"	49.1315800252371	34.9964453691617	"B"
"XA53"	57.1203970697708	98.9193786974996	"B"
"XA53"	32.0303775405511	10.8503279765137	"B"
"XA53"	54.0463883292861	5.93981064939871	"B"
"control"	62.0893011847511	71.9297177774832	"A"
"XA53"	17.9838934712112	65.1647957313806	"B"
"XA53"	5.96450534109026	38.9566439458169	"A"
"XA53"	17.0133308292367	55.829394551646	"B"
"XA53"	43.8970052738674	83.9980253665708	"B"
"XA53"	18.0470553584397	28.9123144815676	"A"
"XA53"	88.9840895416215	9.10576799176633	"B"
"XA53"	2.95879803448915	44.8210306049325	"B"
"XA53"	29.1601569358259	6.19590320689604	"A"
"XA53"	45.0709172284231	NA	"B"
"XA53"	22.0832914635539	13.0106012794189	"B"
"control"	33.1338108022697	62.091535237059	"A"
"XA53"	31.8366660273634	33.1211625551805	"A"
"control"	42.8995996421203	27.0056102247909	"A"
"XA53"	8.89854162130505	29.8257584869862	"A"
"control"	74.1336669357493	56.882174228318	"A"
"XA53"	44.8873897271231	37.9599832835607	"A"
"XA53"	2.1891852626577	92.8233188496903	"B"
"control"	49.1124045487493	49.0964632465504	"A"
"control"	47.9602846646681	49.845707288757	"B"
"XA53"	65.1017407372594	76.9535367461853	"A"
"XA53"	17.1292425774969	68.9279919376597	"A"
"XA53"	4.88648053286597	35.1729510433041	"A"
"XA53"	81.0666882282123	91.8583863122389	"B"
"XA53"	1.90675366139039	87.1770837312564	"B"
"XA53"	48.876440620143	12.0729818440042	"B"
"control"	31.0829040206969	71.9841774771921	"A"
"XA53"	68.9580711374059	70.9294638630934	"B"
"XA53"	19.8153687780723	33.0323345438577	"B"
"XA53"	84.8742702416144	96.0695819091052	"B"
"XA53"	96.0827786699869	NA	"B"
"XA53"	21.0354429568164	4.02915344145149	"B"
"XA53"	55.9224647361785	NA	"A"
"XA53"	67.1911865160801	88.0233950994909	"A"
"XA53"	22.924171949178	1.19456769507378	"A"
"XA53"	84.1220977206714	88.075250136666	"A"
"XA53"	6.17035752749071	60.1602314911783	"A"
"XA53"	10.9809774436057	35.8392571837641	"B"
"XA53"	24.836894072406	27.1402548093349	"B"
"XA53"	56.1581291243434	23.0304541772231	"A"
"XA53"	85.82208495792	90.1018181378953	"A"
"XA53"	71.1440891332924	85.9957739372738	"B"
"XA53"	63.1821972903796	11.8201031421311	"B"
"control"	71.184645568952	57.8526715618558	"A"
"XA53"	93.9108009426855	89.87744564889	"A"
"XA53"	30.8643189442344	98.0804093074985	"A"
"XA53"	22.1202317071147	26.0704209013842	"A"
"XA53"	80.1769596479833	47.0852694400586	"A"
"XA53"	36.8708198660985	13.8985458314419	"B"
"control"	22.8934798112139	44.1912003280595	"A"
"XA53"	36.8769479615614	6.05578652247786	"A"
"XA53"	19.9815352330916	42.9722408443689	"A"
"XA53"	16.0897727479227	9.08749565733597	"B"
"XA53"	8.97516082562506	15.8808339770883	"A"
"XA53"	9.88186376364902	72.8477709230036	"A"
"XA53"	57.8026269312017	56.9993688638322	"B"
"XA53"	80.1137125935406	64.9037562644109	"B"
"XA53"	92.8769172644243	67.0409214454703	"A"
"XA53"	99.9011435619555	51.9607213245705	"A"
"XA53"	99.107074696105	51.9048778207041	"A"
"XA53"	39.9058667835779	81.9293553905562	"A"
"XA53"	3.16579041490331	0.807935699727386	"B"
"control"	56.1790987108834	61.8867003280669	"B"
"XA53"	20.019626907818	9.17184297330678	"B"
"XA53"	99.1343140954152	51.1442679801956	"B"
"XA53"	2.04110879553482	91.8274793562479	"B"
"XA53"	54.8535561364144	80.1590120164678	"B"
"XA53"	0.864418288879097	19.9541567320004	"A"
"XA53"	7.87669522380456	NA	"B"
"XA53"	86.0916664109565	67.1420998321846	"B"
"control"	67.8010178092867	63.1659449613653	"B"
"XA53"	93.938057938125	45.9702990435064	"B"
"XA53"	56.0415002999827	36.9295484313741	"A"
"XA53"	55.8596032897942	14.145869314298	"B"
"XA53"	21.8179443085566	94.0863301114179	"A"
"XA53"	40.1325751566328	75.1686418169178	"B"
"XA53"	32.106191398669	16.9091518959962	"B"
"XA53"	37.8402581420727	14.1804319805466	"A"
"XA53"	31.8938149417751	30.0357333591208	"A"
"XA53"	91.1743712633848	89.8855451944284	"B"
"XA53"	2.05775999557227	14.8164333354682	"A"
"XA53"	8.05804697563872	97.1458003267646	"A"
"XA53"	77.1467254847288	61.1129447566345	"B"
"XA53"	83.1707976160571	27.8663986419328	"B"
"XA53"	88.1104537191801	10.1565719991922	"A"
"XA53"	85.912845160719	2.15310933040455	"A"
"XA53"	5.10722608137876	1.15899767559022	"A"
"XA53"	83.9448251914233	73.1811886936426	"B"
"XA53"	65.1234378078021	24.0060502311215	"A"
"XA53"	69.0270621098578	80.0141338380985	"B"
"XA53"	89.1782364884391	98.1474484543316	"B"
"XA53"	91.0559993121773	55.0784704661928	"A"
"control"	46.1447726462036	30.8519831986167	"B"
"XA53"	62.8385962880217	56.9810294343159	"B"
"XA53"	62.8790514667518	16.9805426828563	"A"
"control"	44.1117126759142	60.1994155354798	"A"
"control"	56.0205837748945	65.1901615280658	"B"
"XA53"	50.851396719832	80.9086046146229	"A"
"XA53"	22.0389153690077	41.1770843359642	"B"
"XA53"	72.8188811438158	16.9558688456193	"A"
"XA53"	20.1063787550665	55.0952054463327	"A"
"control"	35.0073049770668	44.8225204135291	"B"
"XA53"	3.81134684626013	53.9881506628357	"B"
"XA53"	84.8504457698204	76.1402270197868	"A"
"control"	38.1210718773305	32.1019212870859	"B"
"control"	35.9491777916439	59.1408759804442	"B"
"XA53"	43.9330049796961	38.0279559749179	"B"
"XA53"	6.89618409015238	96.8520869368687	"B"
"XA53"	31.1528200162575	89.890113509912	"A"
"XA53"	51.1032344304956	8.96538763493299	"B"
"XA53"	20.0651924057864	32.0252818909474	"A"
"control"	52.8120150026865	65.1843928187154	"B"
"control"	39.0019231732003	70.1061424490064	"A"
"XA53"	11.0269379043952	40.095988895651	"B"
"XA53"	25.8260049420409	23.9408738293685	"B"
"control"	33.9635591828264	76.0529690210708	"B"
"XA53"	74.0935595284216	65.0594668056816	"B"
"XA53"	27.114122692775	14.863983590994	"B"
"XA53"	94.1477983431891	69.199016981665	"A"
"XA53"	2.97025430295616	47.1366220346652	"A"
"XA53"	58.8470675981604	82.0777011397295	"A"
"XA53"	100.029367123637	68.0699531584978	"A"
"XA53"	5.09656067127362	48.0123086893931	"A"
"XA53"	55.0169084773399	12.9256490969099	"B"
"XA53"	92.9429489649832	NA	"A"
"XA53"	12.923168737907	88.844644729048	"B"
"XA53"	11.8207509964705	35.171616820246	"A"
"XA53"	7.07321513472125	31.1409380285069	"A"
"XA53"	15.114954368677	42.0544581594877	"A"
"XA53"	18.0577736396343	85.1141422169283	"B"
"XA53"	85.843358109612	37.1646249813028	"B"
"XA53"	89.1638209069148	77.8207919497043	"A"
"XA53"	99.8749328305945	13.8238009442575	"A"
"control"	31.9268817814998	36.0278334418312	"B"
"control"	55.9838583718985	46.1321792425588	"A"
"XA53"	37.8632317283191	20.1050798172131	"A"
"XA53"	96.170063500572	30.1322517842986	"B"
"XA53"	12.9902885120362	83.1705637954176	"A"
"control"	62.8305563475937	72.8260262921453	"B"
"control"	50.8481719310395	61.9034551184624	"B"
"control"	36.078697721567	42.148746969644	"B"
"control"	43.0918870552443	45.9399645138532	"B"
"XA53"	11.1845283460803	94.058839034196	"B"
"XA53"	6.04239469049498	37.8694142059423	"A"
"XA53"	17.8351445888169	74.0278899976052	"B"
"control"	53.0669580311514	32.1414406513795	"B"
"XA53"	22.8441972096451	17.8132449816912	"A"
"XA53"	83.9662292808294	84.9815780973062	"A"
"XA53"	77.0715534352697	24.8857098427601	"B"
"XA53"	81.8963077570312	97.8734922918491	"A"
"XA53"	64.9355342279188	7.85288891661912	"A"
"XA53"	87.9136359812692	30.1379889365286	"B"
"XA53"	16.1289164502174	72.0696942956187	"B"
"XA53"	59.0768431065604	37.8704042495228	"B"
"XA53"	14.8396289713681	48.1311497668736	"A"
"control"	59.0977152314037	53.839723144006	"A"
"XA53"	57.8730044455267	94.9023743627593	"A"
"XA53"	66.9958314745687	57.081620856002	"A"
"XA53"	13.1172365710139	55.1383832210675	"B"
"XA53"	71.8935200405307	51.959529928863	"A"
"XA53"	10.1733247890137	20.9904944284819	"B"
"XA53"	18.1581062224694	87.04657392269	"A"
"XA53"	24.0660767840222	24.9974274596199	"B"
"XA53"	75.0742049536668	66.8824758724309	"A"
"XA53"	93.0948776995763	76.892406506557	"A"
"XA53"	93.8931127065793	55.1713325330056	"A"
"XA53"	44.9879933668301	39.1700155834667	"B"
"XA53"	33.1448792820796	93.0455231827684	"A"
"control"	32.9225856708363	51.0928170915693	"A"
"XA53"	16.8725750713609	36.9795730819926	"A"
"XA53"	95.9656445652247	79.0638656018302	"B"
"XA53"	66.1020396417007	97.9592113818042	"A"
"XA53"	21.8026149765588	50.9253470869735	"B"
"XA53"	81.1539662349038	1.15644465237856	"B"
"control"	63.9133705913089	72.1626453436911	"B"
"XA53"	80.8563780745491	77.0497639669105	"A"
"XA53"	86.0749621217139	94.0299840745516	"A"
"control"	49.9749344985001	47.9689698879607	"B"
"control"	37.0556024263613	71.1629658897407	"A"
"XA53"	80.1993393894285	95.129152633436	"A"
"XA53"	10.8972491236404	19.9571008472703	"A"
"XA53"	6.1588762331754	7.81778109464794	"B"
"XA53"	90.1700409582816	72.9258555660024	"A"
"XA53"	81.144915167056	82.9609664694406	"B"
"XA53"	66.0217385004275	16.126048548054	"A"
"control"	32.9463998561725	70.0180582609959	"A"
"XA53"	88.0749632635154	98.8338699444197	"B"
"control"	67.0232992388308	38.0883836512454	"B"
"control"	52.9999630379491	60.189343066141	"B"
"XA53"	47.8430228914134	89.9795736621134	"A"
"XA53"	91.1038078950718	68.8703586339019	"B"
"XA53"	4.02539250897244	76.1515601498075	"A"
"XA53"	98.0665472828783	NA	"A"
"XA53"	98.8776357573457	45.8384664935991	"A"
"XA53"	79.9271957958117	85.0510294305161	"B"
"XA53"	5.00614961357787	98.1882839084603	"B"
"XA53"	10.0937197182328	68.1901215166785	"B"
"XA53"	31.1001561126672	14.0401914811693	"A"
"XA53"	87.1364301477559	71.1371916287579	"A"
"XA53"	15.1732742945664	23.8389971065335	"B"
"XA53"	17.9415857757442	56.8713241334073	"B"
"XA53"	46.0082094698213	NA	"B"
"control"	57.1269913506694	48.1376429727301	"A"
"XA53"	47.8783985594288	98.1850347680971	"A"
"XA53"	16.0546070184559	17.8992841838859	"B"
"XA53"	40.1114826387726	97.9753264778294	"B"
"XA53"	75.1705115413293	25.1467230113223	"A"
"XA53"	28.1719247200526	NA	"B"
"XA53"	80.976316832751	90.8471118423156	"A"
"XA53"	26.0364870574325	36.1443636285141	"B"
"XA53"	90.9211253844202	20.8102793514729	"A"
"XA53"	4.99827796919271	36.0316287410445	"B"
"XA53"	13.0708144766279	36.0261921964586	"B"
"XA53"	73.0059598991647	37.1126630180515	"A"
"XA53"	39.1551674238406	47.147565758042	"A"
"XA53"	72.9949127858505	74.8974747335538	"B"
"XA53"	93.9189127419144	22.0707418758422	"B"
"control"	48.0489213045687	31.8071240909398	"A"
"XA53"	77.1867713784799	77.0197460023686	"A"
"control"	61.9017226737924	38.0658196807839	"A"
"XA53"	11.8724789011292	96.1721535720862	"B"
"XA53"	88.9810150744393	32.9007945590653	"A"
"XA53"	46.0493208060041	33.8377001700923	"A"
"control"	30.931926628761	62.1076924089342	"B"
"XA53"	63.1639528243802	86.8698056601919	"A"
"control"	49.0061477845535	61.821275802888	"B"
"XA53"	84.0700216985308	50.0211253754795	"B"
"XA53"	90.105586354807	48.0486340557225	"A"
"control"	38.0029013319872	49.0681101462804	"A"
"XA53"	85.9686930775642	36.1774217676371	"B"
"control"	50.1305506960489	58.0037782678381	"B"
"XA53"	15.16236793641	92.0512323052622	"B"
"XA53"	30.8538981975988	17.8364394449629	"A"
"control"	36.886936000362	43.9648976802826	"B"
"XA53"	36.1131452115253	17.880924947653	"A"
"control"	54.0020277832635	50.094973383937	"B"
"control"	69.1357244939543	76.8534007680602	"A"
"XA53"	5.10293354811147	75.8461449343711	"A"
"XA53"	84.959385285154	72.9565180045552	"A"
"XA53"	80.8695528368466	97.9518732348457	"A"
"XA53"	89.0378673705272	1.04629582390189	"A"
"control"	67.0628385391086	65.1721295141615	"A"
"XA53"	58.8115241537802	93.8256189534441	"A"
"XA53"	16.17407327611	38.0911547587253	"A"
"XA53"	23.8950204440393	28.8300964287482	"A"
"XA53"	13.1943885808811	47.0580462870188	"B"
"XA53"	96.9365797528997	9.08014667872339	"A"
"XA53"	29.984740367718	37.9733262157999	"B"
"XA53"	94.1194057952613	90.8986287658103	"B"
